collecting_event,number,method,species,common_name,common_name_label,names,names_by_family,frequency,relative_abundance
PEDRFA20,21,Electrofishing (individuals),Oncorhynchus tshawytscha,Chinook salmon,,Chinook salmon (Oncorhynchus tshawytscha),Salmonidae: O. tshawytscha (Chinook salmon) [Native],0,0.0000
PEDRFA20,22,Electrofishing (individuals),Orthodon microlepidotus,Sacramento blackfish,,Sacramento blackfish (Orthodon microlepidotus),Cyprinidae: Orthodon microlepidotus (Sacramento blackfish) [Native],0,0.0000
PEDRFA20,23,Electrofishing (individuals),Percina macrolepida,bigscale logperch,,bigscale logperch (Percina macrolepida),Percidae: Percina macrolepida (bigscale logperch) [Introduced],4,0.0241
PEDRFA20,24,Electrofishing (individuals),Pimephales promelas,fathead minnow,,fathead minnow (Pimephales promelas),Cyprinidae: Pimephales promelas (fathead minnow) [Introduced],0,0.0000
PEDRFA20,25,Electrofishing (individuals),Pomoxis nigromaculatus,black crappie,,black crappie (Pomoxis nigromaculatus),Centrarchidae: Pomoxis nigromaculatus (black crappie) [Introduced],0,0.0000
PEDRFA20,26,Electrofishing (individuals),Ptychocheilus grandis,Sacramento pikeminnow,Sacramento pikeminnow,Sacramento pikeminnow (Ptychocheilus grandis),Cyprinidae: Ptychocheilus grandis (Sacramento pikeminnow) [Native],93,0.5602
PEDRFA20,27,eDNA (reads),Ameiurus catus,white catfish,,white catfish (Ameiurus catus),Ictaluridae: Ameiurus catus (white catfish) [Introduced],0,0.0000
PEDRFA20,28,eDNA (reads),Ameiurus melas/nebulosos,black/brown bullhead,,black/brown bullhead (Ameiurus melas),Ictaluridae: A. melas/nebulosus (bullhead) [Introduced],0,0.0000
PEDRFA20,29,eDNA (reads),Carassius auratus,goldfish,,goldfish (Carassius auratus),Cyprinidae: Carassius auratus (goldfish) [Introduced],0,0.0000
PEDRFA20,30,eDNA (reads),Catostomus occidentalis,Sacramento sucker,Sacramento sucker,Sacramento sucker (Catostomus occidentalis),Catostomidae: Catostomus occidentalis (Sacramento sucker) [Native],27947,0.1719
